Date,Nb_Cas_Cumulatif,Nb_Nvx_Cas,Nb_Deces_Cumulatif_Total,Nb_Nvx_Deces_Total
2023-04-19,1336027,357,17777,5
2023-04-20,1336348,321,17783,6
2023-04-21,1336695,347,17786,3
2023-04-22,1336966,271,17789,3
2023-04-23,1337190,224,17794,5
2023-04-24,1337639,449,17801,7
2023-04-25,1337993,354,17804,3
2023-04-26,1338322,329,17807,3
2023-04-27,1338633,311,17817,10
2023-04-28,1338907,274,17820,3
2023-04-29,1339139,232,17821,1
2023-04-30,1339345,206,17823,2
2023-05-01,1339755,410,17829,6
2023-05-02,1340111,356,17833,4
2023-05-03,1340392,281,17837,4
2023-05-04,1340639,247,17841,4
2023-05-05,1340877,238,17841,0
2023-05-06,1341085,208,17847,6
2023-05-07,1341251,166,17850,3
2023-05-08,1341549,298,17855,5
2023-05-09,1341786,237,17857,2
2023-05-10,1342032,246,17858,1
2023-05-11,1342294,262,17859,1
2023-05-12,1342531,237,17861,2
2023-05-13,1342689,158,17864,3
2023-05-14,1342863,174,17866,2
2023-05-15,1343146,283,17868,2
2023-05-16,1343407,261,17869,1
2023-05-17,1343648,241,17873,4
2023-05-18,1343842,194,17875,2
2023-05-19,1344073,231,17878,3
2023-05-20,1344226,153,17881,3
2023-05-21,1344365,139,17883,2
2023-05-22,1344537,172,17888,5
2023-05-23,1344807,270,17891,3
2023-05-24,1345049,242,17900,9
2023-05-25,1345255,206,17903,3
2023-05-26,1345437,182,17909,6
2023-05-27,1345573,136,17914,5
2023-05-28,1345709,136,17920,6
2023-05-29,1345933,224,17927,7
2023-05-30,1346166,233,17931,4
2023-05-31,1346368,202,17936,5
2023-06-01,1346555,187,17942,6
2023-06-02,1346754,199,17946,4
2023-06-03,1346886,132,17946,0
2023-06-04,1346994,108,17947,1
2023-06-05,1347164,170,17948,1
2023-06-06,1347345,181,17953,5
2023-06-07,1347495,150,17957,4
2023-06-08,1347632,137,17963,6
2023-06-09,1347777,145,17964,1
2023-06-10,1347889,112,17967,3
2023-06-11,1347985,96,17970,3
2023-06-12,1348149,164,17971,1
2023-06-13,1348268,119,17972,1
2023-06-14,1348391,123,17974,2
2023-06-15,1348520,129,17975,1
2023-06-16,1348607,87,17976,1
2023-06-17,1348689,82,17977,1
2023-06-18,1348752,63,17977,0
2023-06-19,1348859,107,17980,3
2023-06-20,1348965,106,17982,2
2023-06-21,1349088,123,17985,3
2023-06-22,1349183,95,17986,1
2023-06-23,1349261,78,17986,0
2023-06-24,1349326,65,17991,5
2023-06-25,1349398,72,17993,2
2023-06-26,1349525,127,17995,2
2023-06-27,1349631,106,17998,3
2023-06-28,1349731,100,18000,2
2023-06-29,1349811,80,18000,0
2023-06-30,1349893,82,18001,1
2023-07-01,1349968,75,18006,5
2023-07-02,1350037,69,18006,0
2023-07-03,1350147,110,18009,3
2023-07-04,1350247,100,18009,0
2023-07-05,1350351,104,18010,1
2023-07-06,1350437,86,18010,0
2023-07-07,1350519,82,18010,0
2023-07-08,1350588,69,18011,1
2023-07-09,1350649,61,18012,1
2023-07-10,1350742,93,18012,0
2023-07-11,1350843,101,18013,1
2023-07-12,1350943,100,18014,1
2023-07-13,1351047,104,18019,5
2023-07-14,1351156,109,18019,0
2023-07-15,1351214,58,18019,0
